step,best_test_acc,running_best,node_id,description
10,93.92,94.51,b0f6f1f6-ddef-4e55-a5b3-58d088356beb,"Use PreActResNet-18 (best architecture family, achieved 94.51% previously) with a properly calibrated cosine annealing schedule that uses a conservative T_max to ensure the LR decays to near-zero exactly once without restarting. Key new ideas: (1) use TrivialAugmentWide (a simpler but effective augmentation not tried before) instead of AutoAugment/CutMix/Mixup, (2) use a warmup phase followed by cosine decay with T_max set very conservatively to avoid the restart problem, (3) use batch size 128 with LR 0.1 (proven stable combo), and (4) use torch.compile for speed. The main insight is to avoid complex augmentation schemes and focus on getting the LR schedule right."
11,95.69,95.69,fa29adc7-eb6a-44d4-a0f0-c32f44a69694,"Try a ResNeXt-29 (2x64d) architecture which hasn't been explored yet - it uses grouped convolutions for better feature diversity. Combine with the proven techniques: Cutout augmentation, cosine annealing with a very conservative T_max (to avoid the restart issue), Nesterov SGD, and torch.compile. The key new idea is ResNeXt's grouped convolution architecture which provides better accuracy-per-parameter tradeoff than standard ResNets or WRNs, plus using a carefully estimated single cosine cycle based on timing a few warmup steps."
12,95.94,95.94,b8237f45-119c-4ab6-8c43-422f7c799b9d,"The parent solution achieved 95.69% with PreActResNet-18. I'll make one key improvement: add test-time augmentation (TTA) with horizontal flips to boost the final evaluated accuracy. The model's predictions will be averaged over the original image and its horizontally flipped version. I'll also add a slight tweak to use a larger initial learning rate (0.2) since the model benefits from more aggressive early training, and extend the safety margin slightly to use more of the time budget."
13,96.03,96.03,c11ff6c0-70d1-4d7f-8d9b-46605e8eda98,"The parent solution achieved 95.94% with PreActResNet-18 + Cutout + TTA. I'll add Mixup augmentation during training (with alpha=0.2) which provides additional regularization by interpolating between training examples and their labels. Mixup has been shown to improve generalization and works well with Cutout. I'll keep everything else from the parent solution (TTA, cosine schedule, Cutout, etc.) and just add this one technique."
14,95.88,96.03,c02fe947-2154-4e99-8dfa-ce9fca43b4cb,"Add CutMix augmentation alongside Mixup (randomly choosing between them each batch with 50/50 probability), which provides complementary regularization. CutMix cuts and pastes patches between training images rather than blending them, forcing the model to learn from partial views. This combination has been shown to outperform either technique alone. Keep all other settings from the parent solution (PreActResNet-18, Cutout, TTA, cosine schedule, etc.)."
15,95.83,96.03,0cd2123c-ee29-4850-ac9d-7ee151898451,"The parent solution achieved 96.03% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + TTA. The key improvement: increase the Mixup alpha from 0.2 to 0.1 (lighter mixup for less label noise) and add a channel-wise random erasing (RandomErasing) as additional augmentation on top of Cutout. Also, use a slightly higher learning rate (0.15) to enable faster convergence and better exploration early in training, and reduce Cutout length from 16 to 12 to find a better regularization balance with Mixup. The main atomic change is tuning the Mixup alpha down to 0.1 since the CutMix experiment (95.88%) showed too much augmentation hurts, so lighter Mixup may help."
16,96.21,96.21,ce6fc82b-4cbc-4868-ad3c-d0fc18205645,"The parent solution achieved 96.03% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + TTA + cosine schedule. The key improvement: add label smoothing (0.1) to the cross-entropy loss, which has been shown to improve generalization by preventing the model from becoming overconfident. Label smoothing is complementary to Mixup and Cutout - previous attempts with label smoothing used it alongside CutMix/complex setups that failed, but here we add it cleanly to the proven 96.03% recipe. I'll use a small smoothing value (0.1) to avoid over-regularizing."
17,95.46,96.21,fa198ac2-f0fa-4313-8390-474e5ea6c209,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. I'll try increasing the weight decay from 5e-4 to 1e-3, which provides stronger regularization and has been shown to improve generalization when combined with other regularization techniques like Mixup and label smoothing. This is a simple, atomic change that can help the model generalize better without adding complexity."
18,95.74,96.21,0605ede2-c2d3-4dd8-9925-bc003c2f764d,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. I'll add Stochastic Depth (drop path) regularization to the PreActResNet-18, which randomly drops residual blocks during training. This is a proven regularization technique that complements Mixup and label smoothing by preventing co-adaptation of layers. I'll use a linear drop rate schedule from 0 to 0.1 (increasing with depth), which is standard for ResNets on CIFAR-10."
19,95.78,96.21,e509b519-4b2f-49eb-8f6d-b3c68080d020,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. I'll try adding AutoAugment (CIFAR-10 policy) to the data augmentation pipeline, which applies learned augmentation policies that have been shown to significantly boost CIFAR-10 accuracy. AutoAugment is complementary to Cutout and Mixup, providing diverse geometric and color augmentations. Previous attempts with AutoAugment failed due to other issues (wrong normalization std, bad LR schedule), but the current setup has proven stable, so adding AutoAugment should provide additional regularization benefit."
20,95.4,96.21,b3ee35ac-12ea-48f3-9dd1-fdc8b62570de,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. I'll try using a slightly wider PreActResNet-18 (width_mult=1.25, increasing channels from [64,128,256,512] to [80,160,320,640]) to increase model capacity. This should provide better feature representations while still fitting within the time budget. The wider model has more parameters but the same depth, so training speed shouldn't decrease drastically. All other hyperparameters remain identical to the parent."
22,96.11,96.21,e6f41a2e-6f6c-4ce1-a084-966cdbebacd7,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. I'll try increasing the batch size to 256 with a scaled learning rate (0.2) to get faster training and more epochs within the time budget, which should improve convergence. Larger batch sizes with properly scaled LR have been shown to train faster without sacrificing accuracy, and getting more epochs means the cosine schedule can decay more smoothly. I'll also add a slightly longer warmup to stabilize the larger batch training."
23,95.9,96.21,6eef2b63-8655-4e16-a962-e2714792e496,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. I'll try adding an EMA (Exponential Moving Average) model with a high decay rate (0.999) which maintains a running average of model weights during training. EMA has been shown to improve generalization by smoothing out noisy weight updates, and it's complementary to the existing regularization techniques. The EMA model will be evaluated alongside the regular model at each epoch, and the best performing one will be returned."
24,96.03,96.21,9f679fa5-cf5c-40aa-86d5-73049e2ce38a,"The bug is in the EMA update for buffers: some BatchNorm buffers (like `num_batches_tracked`) are Long/integer type, and the floating-point EMA update fails on them. The fix is to skip non-floating-point buffers in the EMA buffer tracking. I'll also keep all the other improvements from the previous implementation intact."
25,95.9,96.21,21cbce1e-e13c-4355-ab98-9bcffb7a34c0,"The parent solution achieved 96.21% as its best result (with label smoothing 0.1, Mixup alpha=0.2, Cutout, TTA, cosine schedule). I'll try adding a second TTA augmentation: in addition to horizontal flip, I'll also average predictions from slightly shifted crops (center crop + 4 corner translations). However, to keep it simple and fast, I'll just add multi-crop TTA with 5 crops (center + 4 corners with small shifts) plus their horizontal flips, giving 10 total predictions averaged. This provides a more robust ensemble at test time. Additionally, I'll slightly increase the Mixup alpha to 0.3 for stronger regularization which may help generalization further."
26,95.61,96.21,64272631-bffc-4b19-8b6f-12fd10727664,"The parent solution achieved 96.21% at its best (with label smoothing 0.1, Mixup alpha=0.2, Cutout, TTA, cosine schedule). Looking at the experiments, the best result was 96.21% with label smoothing=0.1. I'll try adding progressive training: start with a smaller crop size (28x28) for the first portion of training to get more iterations quickly, then switch to full 32x32 crops for the remaining training. This effectively acts as curriculum learning and allows the model to see more diverse examples early on. However, this adds complexity. Instead, I'll try a simpler approach: use a slightly longer warmup (1000 steps instead of 500) and reduce the safety margin from 90% to 85% to be more conservative with the cosine schedule, ensuring it fully decays. Also, I'll increase Mixup alpha slightly to 0.3 since 0.2 worked well and slightly more regularization with label smoothing could help. Actually, looking more carefully at the results: the 96.21% parent used label_smoothing=0.1, mixup_alpha=0.2, cutout=16. Let me try a different atomic change: use Squeeze-and-Excitation (SE) attention blocks in PreActResNet-18, which add channel attention with minimal parameter/compute overhead and have been shown to improve accuracy on CIFAR-10."
27,95.43,96.21,9d5addf9-b8bd-4e2d-89d3-a77b2690d763,"The parent solution achieved 96.21% at its best. Looking at the experiments, the best configuration is PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. I'll try using TrivialAugmentWide as an additional augmentation in the pipeline, which is simpler and faster than AutoAugment (which previously hurt due to slowdown). TrivialAugmentWide applies a single random augmentation per image with random magnitude, adding diversity without significant computational overhead. The previous AutoAugment attempt reduced accuracy from 96.21% to 95.78%, likely due to processing overhead reducing effective training epochs. TrivialAugmentWide should be much lighter."
28,95.93,96.21,6bbdc4a5-7dd8-4b3b-ac9c-99d1504a7503,"The parent solution achieved 96.21% at its best with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experiments, the best single run was 96.21%. I'll try reducing the safety margin from 90% to 85% to give a more conservative estimate of total steps, ensuring the cosine schedule fully decays to near-zero LR before the actual training ends. This means the model will spend more time at very low learning rates fine-tuning, which should help convergence. Additionally, I'll increase the warmup steps slightly and use a slightly lower initial LR (0.08) to improve training stability."
29,95.79,96.21,b7001a0f-a109-40cf-ab8f-d00d5067d64b,"The parent solution achieved 96.21% at its best. Looking at the successful experiments, the key winning configuration is PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. The best run (95.69% → 95.94% → 96.03% → 96.21%) progressively added TTA, Mixup, and label smoothing. I'll try using a slightly higher learning rate (0.15 instead of 0.1) combined with a longer warmup (1000 steps instead of 500) to allow better initial exploration while maintaining stability. Previous attempt with LR=0.15 failed because it also changed cutout length and mixup alpha simultaneously. This time I'll only change LR and warmup, keeping everything else identical to the 96.21% parent."
30,95.68,96.21,f54f111e-a7dc-444f-b2f1-5d3018240659,"The parent solution achieved 96.21% at its best. Looking at the experimental history, the best configuration is PreActResNet-18 + Cutout(16) + Mixup(0.2) + label smoothing(0.1) + TTA + cosine schedule. One technique not yet tried is using a cosine annealing schedule with multiple warm restarts (CosineAnnealingWarmRestarts) tuned so that the final restart ends exactly at the training budget. This allows the model to escape local minima and find better solutions. Specifically, I'll use T_0 set to roughly 1/3 of estimated total epochs with T_mult=2 (so cycles are: T_0, 2*T_0, 4*T_0... epochs), ensuring the final cycle ends near the budget. I'll also add a small amount of weight decay scheduling by using cosine warm restarts naturally. The key atomic change is switching from a single cosine decay to CosineAnnealingWarmRestarts with T_0 tuned to fit ~2-3 restarts in the budget."
31,95.86,96.21,e2dda8a3-c58c-4efe-b9a8-b56c02c0e9e9,"The parent solution achieved 96.21% at its best. Looking at the experimental history, the key winning recipe is PreActResNet-18 + Cutout(16) + Mixup(0.2) + label smoothing(0.1) + TTA + cosine schedule. One thing I notice is that the parent code resets the model weights and optimizer after the warmup timing phase but reuses the same lr_lambda closure that counts from step=0. However, the 15 warmup steps (10+5) are not accounted for. More importantly, I'll try using a slightly different approach: increase the number of workers for data loading to reduce I/O bottleneck, use gradient accumulation-free mixed precision (AMP) training with float16 to speed up training and fit more epochs in the budget. AMP hasn't been tried before and could significantly increase throughput, allowing more training iterations within the time budget, which should improve final accuracy."
32,94.93,96.21,962db78e-ba00-4585-ba90-0f017afd1606,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the key issue is that many modifications either add too much regularization or slow down training. I'll try one atomic change: use a slightly larger model by increasing depth - PreActResNet-34 (with num_blocks [3,4,6,3] instead of [2,2,2,2]) which adds more capacity without changing the width. This is a different direction from the width increase (which failed at 95.40% due to slowdown) - depth increases are typically more parameter-efficient. To compensate for slightly slower training, I'll also use a slightly larger batch size (192) to maintain similar epoch count while keeping the same LR."
33,79.45,96.21,fec92c6d-17b5-413b-bb30-a5c6689cead3,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experiments, adding more regularization (CutMix, stochastic depth, AutoAugment, TrivialAugment, wider/deeper models) all hurt performance. The key insight is that the current recipe is well-tuned but the time estimation might be slightly off. I'll try using proper CIFAR-10 normalization std values (0.2471, 0.2435, 0.2616) instead of (1,1,1). The previous failed attempt with proper std used WRN with many other changes simultaneously, but the 96.21% parent is stable enough that just fixing the normalization should help the model learn better features. This is a simple atomic change that corrects a technically incorrect normalization."
34,94.66,96.21,8b212390-ebd1-479b-8b44-40784f24bfba,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experiments, the best result was 96.21% and most modifications have hurt performance. One thing that hasn't been tried is using a learning rate of 0.1 but with a slightly different safety margin. The 90% safety margin sometimes causes the cosine schedule to end too early or too late. I'll try using 95% safety margin instead of 90%, which means the cosine schedule will be calibrated to use more of the available training time, allowing the LR to decay more gradually and potentially finding a better minimum. This is a minimal change that directly addresses the LR schedule calibration."
35,94.56,96.21,41041984-2bec-4fa5-98fd-9d4f5c09792c,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the best results come from this exact configuration. One technique not yet tried is using a learning rate warmup followed by cosine decay but with a more accurate time estimation: instead of using a fixed safety margin, I'll dynamically track elapsed time and remaining budget to adjust the cosine schedule on-the-fly. More importantly, I'll try adding Random Erasing (which is similar to Cutout but applies random values instead of zeros, and works at the tensor level with random aspect ratios) INSTEAD of Cutout, combined with slightly tuned label smoothing (0.05 instead of 0.1) to reduce over-regularization. Actually, looking more carefully, the most promising untried atomic change is to use a different Mixup alpha. The parent uses 0.2, which worked well. Let me try alpha=0.4 which creates stronger interpolations and has been shown to work well on CIFAR-10 in some papers. But alpha=0.1 was tried and hurt. Instead, I'll try a cleaner approach: keep everything identical to the 96.21% parent but reduce label smoothing from 0.1 to 0.05. The 96.21% parent added label smoothing=0.1 on top of the 96.03% parent, getting +0.18%. A lighter smoothing of 0.05 might find a better balance."
36,94.71,96.21,3cf3f057-20d1-4fb2-96b3-cc6cd424f855,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the key observation is that the 95.69% baseline (without TTA/Mixup/label smoothing) used essentially the same architecture and schedule. The progressive improvements were: +TTA (95.94%), +Mixup (96.03%), +label smoothing (96.21%). One technique not yet tried cleanly is using a higher Mixup alpha (0.4) which creates more aggressive interpolation and has been shown to work well with label smoothing on CIFAR-10 in literature. The previous attempt with alpha=0.1 (lighter) hurt, suggesting the model benefits from stronger mixup. I'll try alpha=0.4 as the single atomic change."
37,95.35,96.21,695dfc60-3629-454d-a433-2da60a39509c,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the 95.69% baseline (no TTA/Mixup/label smoothing) completed 74 epochs with the cosine schedule fully decaying by epoch 67. The key improvement I'll try: use persistent_workers=True and pin_memory=True in the DataLoader to reduce data loading overhead, and more importantly, use a more accurate time estimation by timing a full epoch instead of just 5 steps (which can be noisy due to compilation overhead). I'll also try using num_workers=4 (if not already) for faster data loading. The main atomic change is to use torch.amp (automatic mixed precision) with bfloat16 (not float16 which was tried before) specifically to speed up training and fit more epochs within the budget, while maintaining numerical stability. BFloat16 has better dynamic range than float16 and doesn't need a GradScaler."
38,94.13,96.21,ef3145b7-9c31-4fe1-ab83-1ead46f26d50,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the best result (95.69%) that was the foundation came from a run that completed 74 epochs with the cosine schedule fully decaying by epoch 67. The key issue in many subsequent experiments was the cosine schedule calibration. I'll try a different atomic change: use a slightly different optimizer - AdamW instead of SGD with Nesterov. AdamW with proper weight decay and cosine schedule has been shown to converge faster and find better minima on CIFAR-10, especially with limited training epochs. I'll use a lower learning rate appropriate for Adam (0.001) with weight decay 0.05, keeping all other augmentation and TTA settings identical to the 96.21% parent."
39,94.64,96.21,1818c5b4-b1f0-4d88-97d3-b32f5157416c,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the best performing run (95.69% baseline), it completed 74 epochs with the cosine schedule properly calibrated. The key insight is that the 96.21% parent's time estimation may vary between runs. I'll try using a more robust time estimation by timing a full epoch instead of just 5 steps, and also add a second pass of evaluation at the end to try multiple checkpoints. More importantly, I'll try using Mixup alpha=0.3 (between the successful 0.2 and the too-aggressive 0.4) as a single atomic change, since 0.2 worked well and stronger regularization with label smoothing=0.1 could push accuracy higher."
40,94.82,96.21,0995a183-329a-4f25-a557-1387966c3ef9,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the 95.69% baseline that was the foundation completed 74 epochs with proper cosine decay. The key issue is that the time estimation using 5 steps can be noisy. I'll try using persistent_workers=True to reduce data loading overhead between epochs and pre-fetch_factor=2 to overlap data loading with computation. More importantly, I'll try using a 10-crop TTA at evaluation time (original + flip + 4 translated crops + 4 flipped translated crops) but ONLY for the final returned model, keeping simple flip-TTA for per-epoch evaluation to avoid slowing down training. The key atomic change is to use a more sophisticated final TTA while keeping per-epoch evaluation fast."
41,95.03,96.21,2c60867f-5a65-42d5-9ed3-ec6372055500,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the best result was 96.21% and most modifications have hurt. One thing I notice is that the time estimation and cosine schedule calibration is critical - the 95.69% baseline completed 74 epochs with proper decay. I'll try a different approach: instead of estimating total steps from a few warmup steps (which can be noisy), I'll time a full epoch after warmup and use that for more accurate estimation. Additionally, I'll try using a slightly different cosine schedule that decays to a small non-zero minimum LR (1e-4) instead of zero, which keeps the model learning slightly even at the end of the schedule. This ""minimum LR"" technique prevents the model from getting stuck and has been shown to help in some settings."
42,95.75,96.21,b0cf8afd-ea86-4124-85d6-b9eea8bd07a7,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the best result was 96.21% and most single-parameter changes hurt. The key issue is that different runs have variance in the time estimation and cosine schedule calibration. I'll try a different atomic change: use Exponential Moving Average (EMA) of model weights with a properly implemented version (correctly skipping integer buffers, using high decay 0.9995, and copying BN buffers directly). Previous EMA attempts failed due to bugs or too much overhead. This time I'll implement EMA more efficiently by updating only every N steps (every 5 steps) to reduce overhead, and use a higher decay rate (0.9995) which is better suited for the training length. The EMA model should provide a smoother, better-generalizing version of the weights."
43,95.93,96.21,fc044419-f9e5-4eec-8f6f-55d271cd1f1a,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, many modifications have been tried and most hurt. The key observation is that there's significant run-to-run variance (the same 96.21% parent configuration has yielded results ranging from 94.56% to 96.21% in different experiments). I'll try one untested atomic change: use Dropout (p=0.1) before the final linear layer in PreActResNet-18. This is a lightweight regularization technique that complements the existing augmentation (Cutout, Mixup) and label smoothing without adding computational overhead, and it specifically targets the classifier head where overfitting is most likely."
44,96.17,96.21,b1c59c85-e7a6-403d-9830-850675a0cd7c,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the best results consistently come from this exact configuration, and most modifications have hurt. One observation is that there's significant run-to-run variance (results from 94.56% to 96.21% with seemingly identical configs). The key issue may be the noisy time estimation from only 5 steps. I'll try improving the time estimation by using more warmup steps (15 instead of 5) for timing, and also use a slightly tighter safety margin of 88% (between the working 90% and the too-tight 82%/85%). The main atomic change is to improve step time estimation accuracy by timing more steps, which should lead to a better-calibrated cosine schedule."
45,95.93,96.21,79d5a770-e565-4e8b-be8d-604dd4d57182,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, there's significant run-to-run variance (94.56% to 96.21% with similar configs). The key insight is that the time estimation from 5 steps is noisy and the cosine schedule calibration is critical. I'll try using a more robust approach: time a full epoch instead of just 5 steps for more accurate estimation, and use the 90% safety margin that worked in the best run. Additionally, I'll try using gradient accumulation over 2 mini-batches (effective batch size 256) while keeping the per-step batch at 128, which provides smoother gradients and better generalization without the throughput penalty of actually using batch_size=256. This is a fundamentally different approach from simply increasing batch size (which was tried and got 96.11%)."
46,95.98,96.21,8c5c1269-ec99-4f61-8bf2-d53a1ec81856,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the best result is 96.21% and there's significant run-to-run variance. One technique not yet tried is using a different random seed strategy for data augmentation while keeping the model seed fixed, but that's not allowed. Instead, I'll try adding a small amount of weight noise injection during training (adding Gaussian noise to weights periodically) which acts as implicit regularization and helps escape sharp minima. Actually, a simpler and more promising approach: I'll try using CosineAnnealingLR directly (instead of LambdaLR with manual warmup) with T_max carefully set, and add a LinearLR warmup scheduler combined via SequentialLR. This may provide more precise LR scheduling. More importantly, I'll try increasing label smoothing slightly to 0.15, since 0.1 improved over 0.0, and 0.15 might push further without over-regularizing."
47,95.95,96.21,1dff627d-5c11-4e0b-afc4-c9ba8c6bf14e,"The parent solution achieved 96.21% with PreActResNet-18 + Cutout + Mixup (alpha=0.2) + label smoothing (0.1) + TTA + cosine schedule. Looking at the experimental history, the exact same configuration has shown variance between runs (94.56% to 96.21%). One untried technique is using a different data augmentation order or a slightly different training setup. I'll try using RandomErasing (from torchvision) INSTEAD of the custom Cutout implementation, which applies random erasing at the tensor level with random value fill (instead of zero fill). RandomErasing with random fill has been shown to outperform zero-fill Cutout in some settings because it prevents the model from learning to detect the erased region. This is a simple swap that doesn't add computational overhead."
48,96.19,96.21,67c4b321-3074-473f-af63-c748276932e4,"The parent solution achieved 96.21% as its best. Looking at the experimental history, the run-to-run variance is significant (94.56% to 96.21% with seemingly identical configs). The key observation is that the cosine schedule calibration is critical and the 5-step timing can be noisy. I'll try a different atomic change: use a multi-scale crop augmentation where we randomly resize the crop padding between 2-6 (instead of fixed 4) to provide scale diversity during training. This ""random padding"" approach gives the model more varied spatial contexts without adding computational overhead, and hasn't been tried before. Combined with the proven recipe (PreActResNet-18 + Cutout + Mixup + label smoothing + TTA + cosine schedule), this should provide additional regularization benefit."
49,96.12,96.21,af85442a-f593-495c-b80f-9fb3f534ad2b,"The parent solution achieved 96.21% as its best. Looking at the experimental history, the exact same configuration shows significant run-to-run variance (94.56% to 96.21%). Many modifications have been tried and most hurt. One untried approach is using a cosine schedule with a slightly different total step estimation - specifically, timing a full epoch (not just 5 steps) for more accurate estimation, and then using that to calibrate the schedule. But more importantly, I'll try using channel-last memory format (torch.channels_last) which can significantly speed up convolution operations on modern GPUs, allowing more training iterations within the same time budget. This is a zero-cost optimization that doesn't change the model or hyperparameters at all, just makes training faster."
